Category,Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Greek History,Ποιο γεγονός οδήγησε στην ανακήρυξη της Δημοκρατίας στην Ελλάδα το 1974;,Ο αντιπολεμικός αγώνας,Οι εκλογές του 1967,Η κατάρρευση της χούντας,Η καταδίκη του Γεώργιου Παπαδόπουλου,3
Greek History,Πότε υιοθετήθηκε το πρώτο Προσωρινό Σύνταγμα της Ελλάδος ή αλλιώς το Σύνταγμα της Επιδαύρου;,1817,1819,1820,1822,4
Greek History,Ποια είναι η ημερομηνία της ένταξης της Ελλάδας στην Ευρωζώνη με την εισαγωγή του Ευρώ ως νόμισμα;,1 Ιανουαρίου 1999,1 Ιανουαρίου 2001,1 Ιανουαρίου 2004,1 Ιανουαρίου 2002,4
Greek History,Ποιο έτος μπήκες η Ελλάδα στον Β' Παγκόσμιο Πόλεμο;,1821,1940,1945,1895,2
Greek History,Ποιος αρχαίος Έλληνας έγραψε την Ιλιάδα και την Οδύσσεια; ,Αισχύλος,Όμηρος ,Πίνδαρος ,Θεμιστοκλής,2
Greek History,Ποιος ήταν ο πρώτος δημοκρατικά εκλεγμένος πρωθυπουργός της Ελλάδας;,Ελευθέριος Βενιζέλος,Νικόλαος Πλαστήρας,Ανδρέας Παπανδρέου,Ιωάννης Μεταξάς,1
Greek History,Ποια περίοδος είναι αρχαιότερη;,Μινωική,Μυκηναϊκή,Γεωμετρική,Αρχαϊκή,1
Greek History,Ποια περίοδο είχε στρατιωτική χούντα η Ελλάδα;,1966-1974,1967-1974,1968-1973,1968-1973,2
Greek History,Πότε έγινε η εξέργεση του Πολυτεχνείου;,Τον Νοέμβριου του 1971,Τον Νοέμβριου του 1972,Τον Νοέμβριου του 1973,Τον Νοέμβριου του 1974,3
World History,Πόσα χρόνια διήρκεσε ο Πρώτος Παγκόσμιος Πόλεμος;,4,6,8,10,1
World History,Ποια εποχή ακολούθησε τον Μεσαίωνα στην Ευρώπη;,Η Νεότερη εποχή,Η Αρχαιότητα,Η Αναγέννηση,Εποχή των Φώτων,3
World History,Ποιος αμερικανός εφευρέτης κατασκεύασε τον πρώτο λαμπτήρα;,Τόμας Έντισον,Άλμπερτ Αϊνστάιν,Αρχιμήδης,Νίκολα Τέσλα,1
World History,Ποιος ήταν ο πρώτος άνθρωπος που βρέθηκε στο φεγγάρι;,Μπαζ Αλντρίν,Γιούρι Γκαγκάριν,Νιλ Άρμστρονγκ,Άλμπερτ Αϊνστάιν,3
World History,Πότε έληξε ο Δεύτερος Παγκόσμιος Πόλεμος;,1932,1939,1942,1945,4
World History,Ποια αρχαία πολιτιστική πόλη καταστράφηκε από την ηφαιστειακή έκρηξη του Βεζούβιου το 79μ.Χ;,Ρώμη,Κνωσσός,Πομπηία,Τροία,3
World History,Ποιος βασιλιάς της Γαλλίας αιχμαλωτίστηκε κατά τη διάρκεια της Γαλλικής Επανάστασης και εκτελέστηκε στη γκιλοτίνα;,Λουδοβίκος ΙΔ΄,Λουδοβίκος ΙΙ΄,Κάρολος Ι΄,Φίλιππος ΙΙ΄,1
World History,Ποιος εξερευνητής ανακάλυψε την Αμερική το 1492;,Μαρκό Πόλο,Χριστόφορος Κολόμβος,Φερδινάνδος Μαγγελάνος,Αμέριγκο Βεσπούτσι,2
World History,Ποιος πρόεδρος των Ηνωμένων Πολιτειών υπέγραψε τη Διακήρυξη Ανεξαρτησίας των ΗΠΑ;,Τζον Άνταμς,Τζωρτζ Ουάσιγκτον,Τόμας Τζέφερσον,Άμπραχαμ Λίνκολν,2
World History,Ποιος εξερευνητής ανακάλυψε τον ποταμό Αμαζόνιο;,Φερνάντο ντε Μαγκαλάνις,Χριστόφορος Κολόμβος,Φρανσίσκο Πιζάρο,Φερνάο ντι Κελόντε,1
World History,Ποιος πρωθυπουργός του Ηνωμένου Βασιλείου ήταν γνωστός για την ηγεσία της χώρας κατά τη διάρκεια του Β' Παγκοσμίου Πολέμου;,Γουίνστον Τσώρτσιλ,Κλίμεντ Άτλι,Αντόνυ Έντεν,Ντέιβιντ Λόιντ Τζορτζ,1
World History,Ποιος βρετανός εξερευνητής έγινε πρώτος ανθρώπος που φτάνει στον Βόρειο Πόλο;,Ρόμπερτ Σκοτ,Έρνεστ Σακλετόν,Τζον Φράνκλιν,Ρόαλντ Άμουντσεν,4
World History,Ποια ήταν η πρώτη πρωτεύουσα του Βυζαντίου;,Γαλατάς,Χαλκηδόνα,Κωνσταντινούπολη,Ακαρασσός,3
World History,"Ποιος ζωγράφος δημιούργησε τον πίνακα ""Μονά Λίζα"";",Βινσέντ βαν Γκογκ,Πικάσο,Λεονάρντο ντα Βίντσι,Αντρέα Μαντσιάνι,3
World History,Πότε ξεκίνησε ο Πρώτος Παγκόσμιος Πόλεμος;,1910,1914,1918,1922,2
World History,Πότε έγινε η επανένωση της Γερμανίας;,1988,1990,1991,1992,2
World History,Ποιος ήταν ο ιδρυτής της Ρωμαϊκής Αυτοκρατορίας;,Αύγουστος,Ιούλιος Καίσαρας,Μάρκος Αντώνιος,Καλιγούλας,1
World History,Ποιος ήταν ο πρώτος δημοκρατικά εκλεγμένος πρόεδρος της Αμερικής;,Τζον Φ. Κένεντι,Τζορτζ Ουάσινγκτον,Τόμας Τζέφερσον,Άμπραχαμ Λίνκολν,2
World History,Ποιο γεγονός σημάδεψε την έναρξη του Β' Παγκοσμίου Πολέμου στην Ευρώπη;,Η εισβολή γερμανικών στρατευμάτων στην Γαλλία,Η εισβολή γαλλικών στατευμάτων στην Γερμανία,Η εισβολή γερμανικών στρατευμάτων στην Πολωνία,Η εισβολή πολωνικών στρατευμάτων στην Γερμανία,1
World History,Πόσα χρόνια διήρκεσε ο Δεύτερος Παγκόσμιος Πόλεμος;,2,4,6,8,3
Animals,Τι είναι τα κοράλλια;,Ανθόζωα,Φυτά,Ψάρια,Σκυφόζωα,1
Animals,Πόσες μοίρες μπορείς να γυρίσεις το κεφάλι της μια κουκουβάγια;,90,180,270,360,3
Animals,Πόσες μύτες έχουν τα σαλιγκάρια,2,4,8,10,2
Animals,Ποιο ζώο είναι το μοναδικό που δεν μπορεί να πηδήξει;,Αρμαντίλλο,Πλατύπους,Ελέφαντας,Μυρμηγκοφάγος,3
Animals,Πόσα χρόνια μπορεί να ζήσει ένας αχινος;,100,200,300,500,2
Animals,Πώς κάνουν «πρόταση γάμου» οι αρσενικοί πιγκουίνοι;,Κάνουν κόλπα στο νερό,Χτίζουν ένα σπιτάκι στο χιόνι,Προσφέρουν ψάρια,Προσφέρουν ένα βότσαλο,4
Animals,Τι χρώμα είναι το δέρμα της πολικής αρκούδας;,Ροζ,Άσπρο,Γκρι,Μαύρο,4
Animals,Πόσα κιλά μπαμπού καταναλώνει καθημερινά ένα πάντα;,3,6,12,20,3
Animals,Πόσο καιρό διαρκεί η εγκυμοσύνη στους ελέφαντες;,6 μήνες,18 μήνες,2 χρόνια,3 χρόνια,3
Animals,Ποιο ζώο είναι το μεγαλύτερο στον κόσμο;,Ελέφαντας,Κροκόδειλος,Καμηλοπάρδαλη,Γαλάζια Φάλαινα,4
Animals,Ποιο είναι το μεγαλύτερο φίδι στον κόσμο;,Πύθωνας,Ανακόντα,Κόμπρα,Κροταλίας,1
Animals,Ποιο ζώο είναι γνωστό για την ικανότητά του να αλλάζει χρώμα;,Χαμαιλέων,Πιγκουΐνος,Πύθωνας,Σκαντζόχοιρος,1
Animals,Ποιο ζώο έχει το μεγαλύτερο αυγό σε σχέση με το μέγεθος του σώματος;,Περιστέρι,Κότα,Κροκόδειλος,Φλαμίνγκο,4
Animals,Ποιο ζώο είναι γνωστό για τον κυκλικό ύπνο του που μπορεί να διαρκέσει αρκετούς μήνες;,Κοράκι,Αρκούδα,Καγκουρό,Σκαντζόχοιρος,2
Animals,Μέχρι πόσα δόντια μπορεί να βγάλουν και να χάσουν οι καρχαρίες κατά την διάρκεια της ζωής τους;,2000,12000,25000,35000,4
Animals,Πόσες καρδιές έχει ένα χταπόδι;,1,2,3,4,3
Animals,Που βρίσκεται η καρδιά της γαρίδας;,Στο κεφάλι της,Στην ουρά της,Στα μάτια της,Στα πόδια της,1
Animals,Μέχρι πόσα χρόνια μπορεί να κοιμηθεί ένα σαλιγκάρι ,1,2,3,4,3
Animals,Ποιο είναι το μόνο θηλαστικό που μπορεί να πετάει;,Αετός,Νυχτερίδα,Πιγκουΐνος,Σκίουρος,2
Animals,Ποιο είναι το μόνο πουλί που μπορεί να πετάξει προς τα πίσω;,Κολίμπρι,Αετός,Σπουργίτι,Χελιδόνι,1
Plants,Ποιος είναι ο κύριος ρόλος των φύλλων στα φυτά;,Να τα προστατεύει από την βροχή,Αναπαραγωγή,Απορρόφηση νερού,Απορρόφηση της ενέργεια του ήλιου,4
Plants,Πως λέγεται η διαδικασία που κάνουν τα φυτά όταν μετασχηματίζουν την φωτεινή ενέργεια από τον ήλιο σε χημική;,Φωτοσύνθεση,Διαπνοή,Απορρόφηση,Ανανοή,1
Plants,Πως παίρνει νερό ένα φυτό;,Μέσω του βλαστού,Μέσω της ρίζας,Μέσω των φύλλων,Μέσω των λουλουδιών,2
Plants,Ποιος είναι ο κύριος παράγοντας που επηρεάζει το χρώμα των φύλλων των φυτών;,Φωτεινότητα,Συνθήκες εδάφους,Θερμοκρασία,Υγρασία,1
Plants,Ποιος είναι ο κύριος ρόλος των αγγείων των φυτών;,Διαπνοή,Αναπνοή,Φωτοσύνθεση,Μεταφορά νερού και θρεπτικών συστατικών,4
Plants,Ποια είναι η κύρια πηγή φυσικής ίνας που χρησιμοποιείται στην παραγωγή ρούχων;,Μαργαρίτα,Βαμβάκι,Λινάρι,Σιτάρι,2
Plants,Πως λέγονται τα δέντρα που χάνουν τα φύλλα τους κατά τους κρύους μήνες;,Φυλλοβόλα,Αειθαλή,Οπωροφώρα,Καλλωπιστικά,1
Plants,Πως λέγονται τα δέντρα που διατηρούν τα φύλλα τους όλη την εποχή;,Φυλλοβόλα,Αειθαλή,Οπωροφώρα,Καλλωπιστικά,2
Plants,Πως λέγονται τα δέντρα που παράγουν καρπούς;,Φυλλοβόλα,Αειθαλή,Οπωροφώρα,Καλλωπιστικά,3
Plants,Πως λέγονται τα δέντρα που χρησιμοποιούνται σαν διακοσμητικά για το φύλλωμαή τα άνθη τους;,Φυλλοβόλα,Αειθαλή,Οπωροφώρα,Καλλωπιστικά,4
Plants,Πως λέγεται η υψομετρική ζώνη στην οποία επικρατούν τέτοιες συνθήκες που καθιστούν αδύνατη την ευδοκίμηση δέντρων;,Ευμεσογειακή,Αλπική,Ψυχρόβιων κωνοφόρων,Δασών οξυάς,2
Plants,Πως μπορείς να βρεις την ηλικία των περισσότερων δέντρων;,Μετρώντας τους δακτύλιους στον κορμό,Μετρώντας το πλάτος,Μετρώντας τα φύλλα,Μετρώντας το ύψος του δέντρο,1
Plants,Πως λέγονται τα φυτά που σχηματίζουν τάπητες και καλύπτουν βράχια δέντρα κ.λπ.;,Λειχήνες,Βρύα,Μελιτοφόρα,Διεγερτικά ,2
Plants,Ποιο από τα παρακάτω χρειάζεται για την μεταφορά και την αποθήκευση ενέργειας στα φυτά;,Άζωτο,Οξυγόνο,Διοξείδιο του άνθρακα,Φωσφόρος,4
Plants,Γιατί τα δέντρα παράγουν ρετσίνα;,Για να αποβάλλουν άχρηστες ουσίες,Για να εξαπλώσουν τους σπόρους τους,Για να προστατευτούν από παθογόνα και έντομα,Για να δροσιστούν,3
Plants,Μέσω της φωτοσύνθεσης τα δέντρα και τα φυτά τι παίρνουν και τι παράγουν;,Οξυγόνο / Διοξείδιο του άνθρακα,Υδρογόνο / Οξυγόνο,Διοξείδιο του άνθρακα / Οξυγόνο,Οξυγόνο / Υδρογόνο,3
Plants,Περίπου πόσο είναι το ποσοστό από την επιφάνεια της γης που καλύπτεται από δέντρα;,Περίπου 20%,Περίπου 30%,Περίπου 40%,Περίπου 50%,2
Plants,Πως λέγεται το υγρό που καταναλώνουν τα έντομα όταν τρέφονται στα λουλούδια;,Τσάι,Γάλα,Νέκταρ,Μέλι,3
Plants,Πως λέγεται η διδικασία με την οποία τα φυτά διασπούν την τροφή τους απελευθερώνοντας ενέργεια;,Αναπνοή,Διαπνοή ,Φωτοσύνθεση,Απορρόφηση,1
Plants,Πως ονομάζεται η αποβολή νερού από τα φυτά προς το περιβάλλον;,Αναπνοή,Διαπνοή ,Φωτοσύνθεση,Απορρόφηση,2
Space,Ποιος από τους παρακάτω πλανήτες του ηλιακού μας συστήματος χρειάζεται τον περισσότερο χρόνο για να διαγράψει μια πλήρη περιστροφή γύρω από τον ήλιο;,Δίας,Ουρανός,Ποσειδώνας,Κρόνος,3
Space,Πόσοι πλανήτες του ηλιακού μας συστήματος περιστρέφονται γύρω από τον εαυτό τους;,1,4,6,Όλοι,4
Space,Ποιος είναι ο μοναδικός πλανήτης του ηλιακού μας συστήματος ο οποίος περιστρέφεται από τα ανατολικά προς τα δυτικά;,Ερμής,Αφροδίτη,Ουρανός,Γη,2
Space,Ποιος πλανήτης στο ηλιακό μας σύστημα έχει του περισσότερους δορυφόρους;,Κρόνος,Άρης,Αφροδίτη,Ποσειδώνας,1
Space,Τι από τα παρακάτω είναι ο Πλούτωνας σύμφωνα με την Διεθνή Αστρονομική Ένωση;,Πλανητης-Νανος,Πλανήτης,Άστρο,Δορυφόρος,1
Space,Ποιος πλανήτης του ηλιακού μας συστήματος έχει 42 χρόνια ηλιοφάνεια και 42 χρόνια σκοτάδι;,Δίας,Κρόνος,Αφροδίτη,Ουρανός,4
Space,Ποιανού πλανήτη είναι δορυφόροι ο Γανυμήδης η Καλλιστώ η Ιώ και η Ευρώπη;,Ποσειδώνα,Κρόνου,Δία,Ουρανού,3
Space,Πόσοι είναι οι πλανήτες του ηλιακού μας συστήματος (χωρίς τον Πλούτωνα);,8,9,10,11,1
Space,Ποιος πλανήτης στο ηλιακό μας σύστημα είναι πιο κοντά στον ήλιο;,Αφροδίτη,Ερμής,Γη,Κρόνος,2
Space,Ποιος είναι ο μεγαλύτερος πλανήτης του ηλιακού μας συστήματος;,Γη,Ποσειδώνας,Κρόνος,Δίας,4
Space,Πόσα χρόνια περίπου υπολογίζεται πως είναι η ηλικία της γης;,4.5 εκατομμύρια,900 εκατομμύρια,1.5 δισεκατομμύρια,4.5 δισεκατομμύρια,4
Space,Ποιος πλανήτης στο ηλιακό μας σύστημα είναι πιο μακρία από τον ήλιο;,Ποσειδώνας,Κρόνος,Ουρανός,Δίας,1
Space,Ποιος είναι ο πιο ζεστός πλανήτης του ηλιακού μας συστήματος;,Ερμής,Άρης,Αφροδίτη,Κρόνος,3
Space,Ποιος είναι ο μικρότερος πλανήτης του ηλιακού μας συστήματος;,Αφροδίτη,Ερμής,Γη,Ουρανός,2
Space,Πως λέγεται η κίνηση της Γης γύρω από τον ήλιο;,Περιστροφή,Παραστροφή,Συστροφή,Περιφορά,4
Space,Ποια είναι η πρώτη ανθρώπινη αποστολή που κατάφερε να φτάσει στη Σελήνη;,Apollo 8,Apollo 11,Apollo 13,Apollo 16,2
Space,Ποιος είναι ο πρώτος άνθρωπος που περπάτησε στη Σελήνη;,Νιλ Άρμστρονγκ,Μπαζ Άλντριν,Τζον Γκλεν,Έντγκαρ Μίτσελ,1
Space,Ποιος πλανήτης έχει την πιο ψυχρή επιφάνεια στο ηλιακό σύστημα;,Δίας,Κρόνος,Ποσειδώνας,Ουρανός,4
Space,Πόση περίπου είναι η απόσταση της Γης από την Σελήνη;,170.000 χιλιόμετρα ,260.000 χιλιόμετρα ,380.000 χιλιόμετρα ,420.000 χιλιόμετρα ,3
Space,Πόση περίπου είναι η απόσταση της Γης από τον Ήλιο;,120 εκατομμύρια χιλιόμετρα,150 εκατομμύρια χιλιόμετρα,170 εκατομμύρια χιλιόμετρα,200 εκατομμύρια χιλιόμετρα,2
